path,exists,SHA_match
D:\Pyprogramme\STST2603\claude_branch\results\21#\10_命名风暴核实.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\11_重点案例详细数据.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\12_案例文字草稿.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\13_风暴期预测检验.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\13_风暴期预测检验散点图.png,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\14_风暴期vs全样本预测精度对照.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\15_风暴期预测检验文字草稿.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\16_变异范围受限诊断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\17_weather_natural子样本构建.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\18_weather_natural子样本回归结果.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\19_weather_natural子样本方差分解与临界风速.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\20_综合判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\21_阵风分布对比.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\22_CauseCode判定与阵风水平关系.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\23_低阵风端锚点密度检验.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\24_综合判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\25_全量样本customers_duration相关系数.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\26_VIF共线性检查.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\27_customers_v2符号反转收尾检验.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\28_空间自相关稳健性检验.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\29_最终验证综合汇总.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\34_论文数字总账.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\35_论文Section2补充数字.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\36_全六组干净样本构建.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\37_全六组干净样本R0c拟合结果.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\38_综合对比与最终文字.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\21#\39_v6数据来源引用回溯.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\22#\41_图表风格规范修正V2.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\22#\43_模型形式适用性检查.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\22#\45_审稿意见核实与重算.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\22#\50_数学审查本地核实.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\22#\Figure_1_study_area_map.png,True,True
D:\Pyprogramme\STST2603\claude_branch\results\22#\Figure_2_distribution.png,True,True
D:\Pyprogramme\STST2603\claude_branch\results\22#\Figure_6a_regional_customers.png,True,True
D:\Pyprogramme\STST2603\claude_branch\results\22#\Figure_6b_regional_duration.png,True,True
D:\Pyprogramme\STST2603\claude_branch\results\cause_code_robustness\01_构成比例诊断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\cause_code_robustness\02_weather_technical子集临界风速.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\cause_code_robustness\03_范围对比与判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\cause_code_robustness\04_综合结论.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\cause_code_robustness\05_一次二次项拆解判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code10#\00_naive变量构造.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code10#\01_naive模型拟合结果.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code10#\02_三方对比与样本量效应拆解.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code10#\04_构造关联性检验.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code10#\05_综合判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code11#\00_复现校验.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code11#\01_逐折拐点.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code11#\02_全样本拐点与置信区间.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code11#\03_物理单位换算.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code11#\04_观测范围检验.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code11#\05_暴露侧与恢复侧对比.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code11#\06_综合报告.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code12#\01_构成比例诊断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code12#\02_weather_technical子集临界风速.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code12#\03_范围对比与判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code12#\04_综合结论.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code12#\05_一次二次项拆解判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code14#\00_天气缺失率单独核实.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code14#\01_E0prime方差分解.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code14#\02_R0cprimeB方差分解.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code14#\03_综合报告.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code16#\00_角色边界核实.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code16#\01_干净开发样本重建.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code16#\02_E0_R0c干净样本重估.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code16#\03_临界风速重估.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code16#\04_方差分解重估.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code16#\05_新旧对比与判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code9#\00_样本构建.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code9#\01_LAD空间归属核查.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code9#\02_交叉验证折构造.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code9#\03_E0prime暴露模型结果.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code9#\04_R0prime恢复模型结果.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code9#\05_R0cprime控制customers后模型结果.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\code9#\06_综合对比与判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\critical_wind_speed\00_复现校验.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\critical_wind_speed\01_逐折拐点.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\critical_wind_speed\02_全样本拐点与置信区间.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\critical_wind_speed\03_物理单位换算.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\critical_wind_speed\04_观测范围检验.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\critical_wind_speed\05_暴露侧与恢复侧对比.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\critical_wind_speed\06_综合报告.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\customers_duration_shape_investigation\01_原始分箱关系.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\customers_duration_shape_investigation\02_子组构成排查.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\customers_duration_shape_investigation\03_灵活函数形式复核.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\customers_duration_shape_investigation\04_综合判断与叙事更新建议.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\customers_duration_shape_investigation\05_n_stages分层检验与最终叙事校准.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\datatest\00_数据集粒度确认.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\datatest\01_与网页端验证逻辑交叉核对.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\datatest\02_数据质量审查.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\datatest\03_过滤合并筛选方案建议.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\datatest\04_综合摘要.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\dev_sample_decontamination\00_角色边界核实.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\dev_sample_decontamination\01_干净开发样本重建.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\dev_sample_decontamination\02_E0_R0c干净样本重估.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\dev_sample_decontamination\03_临界风速重估.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\dev_sample_decontamination\04_方差分解重估.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\dev_sample_decontamination\05_新旧对比与判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\expansion_pool_validation\00b_step1_2_summary.json,True,True
D:\Pyprogramme\STST2603\claude_branch\results\expansion_pool_validation\00_盘点.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\expansion_pool_validation\02a_大样本共线性相关系数.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\expansion_pool_validation\02b_大样本共线性VIF.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\expansion_pool_validation\02_大样本逐折系数.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\expansion_pool_validation\03_三方对比表.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\expansion_pool_validation\04_扩样本验证综合结论.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\00_全量样本构建.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\01_全量样本E0_R0c最终拟合.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\02_全量样本临界风速与方差分解.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\03_阵风剂量反应曲线.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\03_阵风剂量反应曲线说明.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\04a_基线区域差异_预测customers_v2.pdf,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\04a_基线区域差异_预测customers_v2.png,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\04b_基线区域差异_预测duration_B.pdf,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\04b_基线区域差异_预测duration_B.png,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\04_基线区域差异地图图注.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\04_基线区域差异地图数据.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\05_阵风vs区域影响幅度对比.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\06_暴露恢复预测面相关性.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\07_customers_v2剂量反应曲线.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\07_customers_v2剂量反应曲线说明.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\08_阵风vs客户规模剂量反应对比图.pdf,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\08_阵风vs客户规模剂量反应对比图.png,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\09_地图角色重新定位说明.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\10_命名风暴核实.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\11_重点案例详细数据.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\12_案例文字草稿.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\13_风暴期预测检验.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\13_风暴期预测检验散点图.pdf,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\13_风暴期预测检验散点图.png,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\14_风暴期vs全样本预测精度对照.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\15_风暴期预测检验文字草稿.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\16_变异范围受限诊断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\17_weather_natural子样本构建.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\18_weather_natural子样本回归结果.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\19_weather_natural子样本方差分解与临界风速.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\20_综合判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\21_阵风分布对比.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\22_CauseCode判定与阵风水平关系.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\23_低阵风端锚点密度检验.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\24_综合判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\25_全量样本customers_duration相关系数.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\26_VIF共线性检查.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\27_customers_v2符号反转收尾检验.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\28_空间自相关稳健性检验.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\29_最终验证综合汇总.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\30_风暴权重占比.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\31_反事实迁移分析.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\32_反事实分析稳健性.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\33_综合判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\34_论文数字总账.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\35_论文Section2补充数字.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\36_全六组干净样本构建.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\37_全六组干净样本R0c拟合结果.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\38_综合对比与最终文字.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\39_v6数据来源引用回溯.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\40_全文图表风格规范与Figure1_2_6制作.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\41_图表风格规范修正V2.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\42_图片内容详细描述.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\43_模型形式适用性检查.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\44_Section4图表详细描述.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\45_审稿意见核实与重算.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\46_附录数据收集与公式核对.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\47_三阶项检验与对称性分析.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\48_附录D补全与附录A数据收集.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\49_附录D图表数据与描述.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\final_combined_analysis\50_数学审查本地核实.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\gust_duration_customer_adjusted\00_step1_repro_check.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\gust_duration_customer_adjusted\02a_gust_customers_correlation.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\gust_duration_customer_adjusted\02_共线性诊断_VIF.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\gust_duration_customer_adjusted\03b_控制前后稳定性汇总.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\gust_duration_customer_adjusted\03_控制前后对比表.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\gust_duration_customer_adjusted\04_控制customers后的阵风系数稳定性报告.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\gust_duration_customer_adjusted\raw_fold_coefs_R0c.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\module_e_final_confirmation\00_holdout样本构建.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\module_e_final_confirmation\00_holdout样本构建_命令15已废弃_基于污染前提.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\module_e_final_confirmation\01_E0暴露模型holdout结果.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\module_e_final_confirmation\02_R0c恢复模型holdout结果.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\module_e_final_confirmation\03_方差分解holdout复现.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\module_e_final_confirmation\04_综合判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\old_paper_framework_review\00_旧论文正文结构梳理.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\old_paper_framework_review\01_建模画图脚本清单.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\old_paper_framework_review\02_LAD风敏感性地图方法精确复原.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\old_paper_framework_review\03_其余建模内容概览.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\old_paper_framework_review\04_旧论文完整框架地图.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\oof_coef_stability\03_阵风系数样本外稳定性报告.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\oof_coef_stability\raw_fold_coefs.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\pipeline_archaeology\00_项目框架说明摘录.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\pipeline_archaeology\01_相关脚本清单.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\pipeline_archaeology\02_数据链路图.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\pipeline_archaeology\03_脚本详细文档.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\pipeline_archaeology\04_与官方公式差异定位.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\pipeline_archaeology\05_customers为0情况说明.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\pipeline_archaeology\06_综合结论_复用地图.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\pipeline_v2_output\00_原始字段验证.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\pipeline_v2_output\01_新版基础表校验.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\pipeline_v2_output\02_重建方法论与证据链.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\pipeline_v2_output\03_下游重跑规模评估.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1b_independence_check\00_step1_sample_summary.json,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1b_independence_check\01_spearman.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1b_independence_check\02_distance_correlation.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1b_independence_check\03_mutual_information.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1b_independence_check\04b_stratified_duration_by_customer_bin_detail.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1b_independence_check\04_kruskal_wallis_stratified.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1b_independence_check\05_独立性检验综合结论.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1b_independence_check\99_all_steps_summary.json,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1_cluster_screening\00b_step1_sample_summary.json,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1_cluster_screening\00_数据盘点.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1_cluster_screening\01b_2d_kde_peaks.json,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1_cluster_screening\01_双峰性检验结果.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1_cluster_screening\02_gmm_bic_icl.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1_cluster_screening\03_kmeans_ari_对照.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1_cluster_screening\04_类别样本量检查.csv,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1_cluster_screening\05_Test1摸底结论.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\test1_cluster_screening\99_all_steps_summary.json,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_controlled_comparison\00_naive变量构造.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_controlled_comparison\01_naive模型拟合结果.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_controlled_comparison\02_三方对比与样本量效应拆解.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_controlled_comparison\04_构造关联性检验.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_controlled_comparison\05_综合判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_dataset_audit\00_数据集粒度确认.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_dataset_audit\01_与网页端验证逻辑交叉核对.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_dataset_audit\02_数据质量审查.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_dataset_audit\03_过滤合并筛选方案建议.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_dataset_audit\04_综合摘要.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_validation\00_样本构建.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_validation\01_LAD空间归属核查.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_validation\02_交叉验证折构造.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_validation\03_E0prime暴露模型结果.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_validation\04_R0prime恢复模型结果.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_validation\05_R0cprime控制customers后模型结果.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\v3_validation\06_综合对比与判断.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\variance_decomposition\00_天气缺失率单独核实.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\variance_decomposition\01_E0prime方差分解.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\variance_decomposition\02_R0cprimeB方差分解.md,True,True
D:\Pyprogramme\STST2603\claude_branch\results\variance_decomposition\03_综合报告.md,True,True
