MR,title,implementation,current_numeric,scientific_limit,next_condition_or_author_decision,Word_status,evidence,timestamp
MR19,最低点与物理单位不确定性,physical points/scales verified,10.807545 conditional main point,no current physical CI; old bootstrap historical,shape gate then optional physical bootstrap,not_modified,R05/COVARIANCE_AND_PERIOD_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR20,分时段系数、尺度和CV汇总身份,8 full-rank period archive readbacks passed,unseen combination guard; LADSE/point figure,retrospective/nonPSD two-way restrictions,V00 only needed inference comparisons,not_modified,R05/COVARIANCE_AND_PERIOD_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR21,阶段组成、缺首阶段与客户—跨度关系,numeric stage sort and bins checked,two current pooled curves decline; time ties quantified,no dispatch mechanism or sole composition cause,V01 stage-quality sensitivity,not_modified,R05/CUSTOMER_COMPARATOR_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR22,最终客户数与可用信息时点,K final-information timing declared,1.97/2.99 comparisons not initial model,no initial deployment claim,T08 only if author chooses early use,not_modified,R05/CUSTOMER_COMPARATOR_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR23,工程量级、误差与校准,reference diagnostics reproduced,residual F1 and archived factors available,not calibrated conditional means or engineering efficacy,V03,not_modified,R05/CONSUMER_REPRODUCTION.md,2026-09-05T23:31:25.148819+00:00
MR24,图6/7是否推进主问题,fig06/07 retained and recreated,reference map/ratios bounded,no universal importance ranking,author may move to appendix; not delete automatically,not_modified,R05/MANUSCRIPT_REWRITE_CANDIDATES.md,2026-09-05T23:31:25.148819+00:00
MR25,生产者、旧图回填与数字单一来源,release entry and numeric semantics audited,950slots/246bindings;10labels corrected; all12figures,OCR/formula objects and Word sync outside R05,W after V04; current metadata counterpart authoritative,not_modified,R05/CONSUMER_REPRODUCTION.md,2026-09-05T23:31:25.148819+00:00
MR26,主线、章节及修复历史分工,chapter/paragraph mapping created,90candidate locations;11combination paragraphs,six-chapter structure only proposed,author structure decision after V synthesis,not_modified,R05/MANUSCRIPT_REWRITE_CANDIDATES.md,2026-09-05T23:31:25.148819+00:00
MR27,文献、数据来源及术语引用,source identities preserved,LSOA internal sheet confirmed; provenance table,official dictionary/product/citation particulars pending,source verification; W bibliography,not_modified,R05/PROVENANCE_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR28,C10编号缺口已闭合，科学问题转由MR08跟踪,C10 numbering issue remains closed,scientific Buck issue tracked inMR08,closing code ID does not close source science,MR08 mandatory reconstruction,not_modified,R05/PROVENANCE_AUDIT.md,2026-09-05T23:31:25.148819+00:00
MR29,LAD21定位与LAD23人口/区域连接的边界兼容,regional links numerically usable,LAD21map111; LAD23 key compatibility known,boundary equivalence not established,T01 before dependent V fits,not_modified,R05/PROVENANCE_AUDIT.md,2026-09-05T23:31:25.148819+00:00
