slot_id,old_Word_baseline_SHA,old_location,table_cell_or_context,MR,CL,old_claim,old_numeric_token,current_evidence_path,evidence_row_key,new_numeric,unit,population,candidate,disposition,missing_condition,candidate_new_section,Word_status
NS0018,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P008,"Existing empirical work on power outage duration and customer impact under severe weather has established regression- and machine-learning-based approaches for hurricane- and ice-storm-affected US utilities [3–6]. A separate line of engineering research addresses the wind vulnerability of individual distribution and transmission structures. It derives fragility curves, expressing the probability of structural failure as a function of wind speed, from finite element simulation or physical testing of particular structure types [7–10]. These studies motivate examining nonlinear wind response, but a component failure probability and the consequences of an observed network outage are different outcomes.",MR27,"CL01,CL05","Existing empirical work on power outage duration and customer impact under severe weather has established regression- and machine-learning-based approaches for hurricane- and ice-storm-affected US utilities [3–6]. A separate line of engineering research addresses the wind vulnerability of individual distribution and transmission structures. It derives fragility curves, expressing the probability of structural failure as a function of wind speed, from finite element simulation or physical testing of particular structure types [7–10]. These studies motivate examining nonlinear wind response, but a component failure probability and the consequences of an observed network outage are different outcomes.",6,,see source and disposition; not a new estimate,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,Retain the meaning of this formula/index/date/cross-reference; synchronize only numbering and linked caption at W. No new empirical value is asserted.,retain_definition_formula_or_reference,,retain current location pending author structure decision,not_modified
NS0019,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P008,"Existing empirical work on power outage duration and customer impact under severe weather has established regression- and machine-learning-based approaches for hurricane- and ice-storm-affected US utilities [3–6]. A separate line of engineering research addresses the wind vulnerability of individual distribution and transmission structures. It derives fragility curves, expressing the probability of structural failure as a function of wind speed, from finite element simulation or physical testing of particular structure types [7–10]. These studies motivate examining nonlinear wind response, but a component failure probability and the consequences of an observed network outage are different outcomes.",MR27,"CL01,CL05","Existing empirical work on power outage duration and customer impact under severe weather has established regression- and machine-learning-based approaches for hurricane- and ice-storm-affected US utilities [3–6]. A separate line of engineering research addresses the wind vulnerability of individual distribution and transmission structures. It derives fragility curves, expressing the probability of structural failure as a function of wind speed, from finite element simulation or physical testing of particular structure types [7–10]. These studies motivate examining nonlinear wind response, but a component failure probability and the consequences of an observed network outage are different outcomes.",7,,see source and disposition; not a new estimate,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,Retain the meaning of this formula/index/date/cross-reference; synchronize only numbering and linked caption at W. No new empirical value is asserted.,retain_definition_formula_or_reference,,retain current location pending author structure decision,not_modified
NS0020,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P008,"Existing empirical work on power outage duration and customer impact under severe weather has established regression- and machine-learning-based approaches for hurricane- and ice-storm-affected US utilities [3–6]. A separate line of engineering research addresses the wind vulnerability of individual distribution and transmission structures. It derives fragility curves, expressing the probability of structural failure as a function of wind speed, from finite element simulation or physical testing of particular structure types [7–10]. These studies motivate examining nonlinear wind response, but a component failure probability and the consequences of an observed network outage are different outcomes.",MR27,"CL01,CL05","Existing empirical work on power outage duration and customer impact under severe weather has established regression- and machine-learning-based approaches for hurricane- and ice-storm-affected US utilities [3–6]. A separate line of engineering research addresses the wind vulnerability of individual distribution and transmission structures. It derives fragility curves, expressing the probability of structural failure as a function of wind speed, from finite element simulation or physical testing of particular structure types [7–10]. These studies motivate examining nonlinear wind response, but a component failure probability and the consequences of an observed network outage are different outcomes.",10,,see source and disposition; not a new estimate,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,Retain the meaning of this formula/index/date/cross-reference; synchronize only numbering and linked caption at W. No new empirical value is asserted.,retain_definition_formula_or_reference,,retain current location pending author structure decision,not_modified
NS0021,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P010,"This study addresses two questions within that operational setting. First, is there a consistent nonlinear association between gust intensity and the consequences of recorded outages, and how stable is the location of any fitted minimum? Second, does the predictive contribution of gust relative to affected-customer scale in a restoration-duration model change when attention is restricted to weather-attributed incidents? Prior work has investigated influential hazard and infrastructure predictors [6]; the comparison here concerns these two particular variable groups within the same network under different cause-based sample definitions.","MR13,MR18,MR26","CL01,CL02,CL03,CL04,CL05","This study addresses two questions within that operational setting. First, is there a consistent nonlinear association between gust intensity and the consequences of recorded outages, and how stable is the location of any fitted minimum? Second, does the predictive contribution of gust relative to affected-customer scale in a restoration-duration model change when attention is restricted to weather-attributed incidents? Prior work has investigated influential hazard and infrastructure predictors [6]; the comparison here concerns these two particular variable groups within the same network under different cause-based sample definitions.",6,R05/OOF_SCORE_AUDIT.md; R05/COVARIANCE_AND_PERIOD_AUDIT.md; R04/tables/supplement_summary.csv,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"The analysis asks how gust is conditionally associated with recorded customer impact and restoration span, and how much gust and eventual customer information add to recovery-model fit under paired evaluation. A further scope question concerns sensitivity to sample definition, calendar period and reference support. Quadratic curves provide a parsimonious description and conditional stationary points, while existing cubic and distributional comparisons help delimit that description. OOF predictions grouped by date assess dates excluded from training. Retrospective periods and plots for named windows provide further descriptions; they do not constitute untouched confirmation or validation of complete weather processes.",whole_paragraph_or_caption_rewrite,,1 Introduction / research questions,not_modified
NS0022,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P011,"Addressing both questions requires an observational record long enough, and varied enough, to include both routine operating conditions and a number of distinct severe wind events within the same network. The UKPN dataset examined in this paper spans three years of continuous operation, from April 2021 to March 2024, and includes seven officially named storms, among them Storm Eunice described above. This combination of duration and event coverage makes it possible to estimate a continuous response function across the full range of observed wind conditions, and to examine that function specifically under the seven storm events, rather than relying on a single simulated structure or a short observation window.",MR14,CL04,"Addressing both questions requires an observational record long enough, and varied enough, to include both routine operating conditions and a number of distinct severe wind events within the same network. The UKPN dataset examined in this paper spans three years of continuous operation, from April 2021 to March 2024, and includes seven officially named storms, among them Storm Eunice described above. This combination of duration and event coverage makes it possible to estimate a continuous response function across the full range of observed wind conditions, and to examine that function specifically under the seven storm events, rather than relying on a single simulated structure or a short observation window.",2021,R03/configs/storm_windows.json; R04/tables/AppendixG_low_gust_support.csv,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"The observation window covers April 2021 to March 2024 and includes seven selected named-storm windows. It provides variation in the recorded weather proxy within one network and reporting system. The amount of support differs across gust levels and cause-defined populations, so coverage of the calendar does not guarantee reliable curve estimation throughout the wind range. Named windows are used for descriptive burden and prediction diagnostics; generalisation to independent weather processes requires a separately defined evaluation protocol.",whole_paragraph_or_caption_rewrite,,1 Introduction,not_modified
NS0023,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P011,"Addressing both questions requires an observational record long enough, and varied enough, to include both routine operating conditions and a number of distinct severe wind events within the same network. The UKPN dataset examined in this paper spans three years of continuous operation, from April 2021 to March 2024, and includes seven officially named storms, among them Storm Eunice described above. This combination of duration and event coverage makes it possible to estimate a continuous response function across the full range of observed wind conditions, and to examine that function specifically under the seven storm events, rather than relying on a single simulated structure or a short observation window.",MR14,CL04,"Addressing both questions requires an observational record long enough, and varied enough, to include both routine operating conditions and a number of distinct severe wind events within the same network. The UKPN dataset examined in this paper spans three years of continuous operation, from April 2021 to March 2024, and includes seven officially named storms, among them Storm Eunice described above. This combination of duration and event coverage makes it possible to estimate a continuous response function across the full range of observed wind conditions, and to examine that function specifically under the seven storm events, rather than relying on a single simulated structure or a short observation window.",2024,R03/configs/storm_windows.json; R04/tables/AppendixG_low_gust_support.csv,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"The observation window covers April 2021 to March 2024 and includes seven selected named-storm windows. It provides variation in the recorded weather proxy within one network and reporting system. The amount of support differs across gust levels and cause-defined populations, so coverage of the calendar does not guarantee reliable curve estimation throughout the wind range. Named windows are used for descriptive burden and prediction diagnostics; generalisation to independent weather processes requires a separately defined evaluation protocol.",whole_paragraph_or_caption_rewrite,,1 Introduction,not_modified
NS0024,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P012,"The analysis uses UKPN outage records from April 2021 to March 2024. Separate quadratic specifications describe affected customers and restoration duration conditional on an incident having occurred. The exposure model’s fitted minimum is evaluated at a stated pressure reference, and nested-model comparisons assess the incremental predictive contribution of gust and affected customers to recovery duration. Retrospective temporal analyses examine sample sensitivity, while seven named storms provide a descriptive assessment of fitted performance during severe weather. The development history limits the independence of the temporal evidence, as explained in Section 3.2 and Appendix E.",MR22,"CL03,CL05","The analysis uses UKPN outage records from April 2021 to March 2024. Separate quadratic specifications describe affected customers and restoration duration conditional on an incident having occurred. The exposure model’s fitted minimum is evaluated at a stated pressure reference, and nested-model comparisons assess the incremental predictive contribution of gust and affected customers to recovery duration. Retrospective temporal analyses examine sample sensitivity, while seven named storms provide a descriptive assessment of fitted performance during severe weather. The development history limits the independence of the temporal evidence, as explained in Section 3.2 and Appendix E.",2021,R05/OOF_SCORE_AUDIT.md; R05/COVARIANCE_AND_PERIOD_AUDIT.md; R04/tables/supplement_summary.csv,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"The analysis asks how gust is conditionally associated with recorded customer impact and restoration span, and how much gust and eventual customer information add to recovery-model fit under paired evaluation. A further scope question concerns sensitivity to sample definition, calendar period and reference support. Quadratic curves provide a parsimonious description and conditional stationary points, while existing cubic and distributional comparisons help delimit that description. OOF predictions grouped by date assess dates excluded from training. Retrospective periods and plots for named windows provide further descriptions; they do not constitute untouched confirmation or validation of complete weather processes.",whole_paragraph_or_caption_rewrite,,1 Introduction / research questions,not_modified
NS0025,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P012,"The analysis uses UKPN outage records from April 2021 to March 2024. Separate quadratic specifications describe affected customers and restoration duration conditional on an incident having occurred. The exposure model’s fitted minimum is evaluated at a stated pressure reference, and nested-model comparisons assess the incremental predictive contribution of gust and affected customers to recovery duration. Retrospective temporal analyses examine sample sensitivity, while seven named storms provide a descriptive assessment of fitted performance during severe weather. The development history limits the independence of the temporal evidence, as explained in Section 3.2 and Appendix E.",MR22,"CL03,CL05","The analysis uses UKPN outage records from April 2021 to March 2024. Separate quadratic specifications describe affected customers and restoration duration conditional on an incident having occurred. The exposure model’s fitted minimum is evaluated at a stated pressure reference, and nested-model comparisons assess the incremental predictive contribution of gust and affected customers to recovery duration. Retrospective temporal analyses examine sample sensitivity, while seven named storms provide a descriptive assessment of fitted performance during severe weather. The development history limits the independence of the temporal evidence, as explained in Section 3.2 and Appendix E.",2024,R05/OOF_SCORE_AUDIT.md; R05/COVARIANCE_AND_PERIOD_AUDIT.md; R04/tables/supplement_summary.csv,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"The analysis asks how gust is conditionally associated with recorded customer impact and restoration span, and how much gust and eventual customer information add to recovery-model fit under paired evaluation. A further scope question concerns sensitivity to sample definition, calendar period and reference support. Quadratic curves provide a parsimonious description and conditional stationary points, while existing cubic and distributional comparisons help delimit that description. OOF predictions grouped by date assess dates excluded from training. Retrospective periods and plots for named windows provide further descriptions; they do not constitute untouched confirmation or validation of complete weather processes.",whole_paragraph_or_caption_rewrite,,1 Introduction / research questions,not_modified
NS0026,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P012,"The analysis uses UKPN outage records from April 2021 to March 2024. Separate quadratic specifications describe affected customers and restoration duration conditional on an incident having occurred. The exposure model’s fitted minimum is evaluated at a stated pressure reference, and nested-model comparisons assess the incremental predictive contribution of gust and affected customers to recovery duration. Retrospective temporal analyses examine sample sensitivity, while seven named storms provide a descriptive assessment of fitted performance during severe weather. The development history limits the independence of the temporal evidence, as explained in Section 3.2 and Appendix E.",MR22,"CL03,CL05","The analysis uses UKPN outage records from April 2021 to March 2024. Separate quadratic specifications describe affected customers and restoration duration conditional on an incident having occurred. The exposure model’s fitted minimum is evaluated at a stated pressure reference, and nested-model comparisons assess the incremental predictive contribution of gust and affected customers to recovery duration. Retrospective temporal analyses examine sample sensitivity, while seven named storms provide a descriptive assessment of fitted performance during severe weather. The development history limits the independence of the temporal evidence, as explained in Section 3.2 and Appendix E.",3.2,R05/OOF_SCORE_AUDIT.md; R05/COVARIANCE_AND_PERIOD_AUDIT.md; R04/tables/supplement_summary.csv,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"The analysis asks how gust is conditionally associated with recorded customer impact and restoration span, and how much gust and eventual customer information add to recovery-model fit under paired evaluation. A further scope question concerns sensitivity to sample definition, calendar period and reference support. Quadratic curves provide a parsimonious description and conditional stationary points, while existing cubic and distributional comparisons help delimit that description. OOF predictions grouped by date assess dates excluded from training. Retrospective periods and plots for named windows provide further descriptions; they do not constitute untouched confirmation or validation of complete weather processes.",whole_paragraph_or_caption_rewrite,,1 Introduction / research questions,not_modified
NS0027,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P013,"Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",MR26,"CL01,CL02,CL03,CL04,CL05","Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",2,R05/MANUSCRIPT_REWRITE_CANDIDATES.md,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"Section 2 defines the records, reconstructed outcomes, source limitations and analysis populations. Section 3 sets out the models, reference quantities and paired date-group evaluation. Section 4 reports conditional shapes, information increments, named-window diagnostics and retrospective period comparisons. Interpretation and limits follow before the final answers to the research questions.",whole_paragraph_or_caption_rewrite,,1 Introduction / roadmap,not_modified
NS0028,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P013,"Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",MR26,"CL01,CL02,CL03,CL04,CL05","Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",3,R05/MANUSCRIPT_REWRITE_CANDIDATES.md,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"Section 2 defines the records, reconstructed outcomes, source limitations and analysis populations. Section 3 sets out the models, reference quantities and paired date-group evaluation. Section 4 reports conditional shapes, information increments, named-window diagnostics and retrospective period comparisons. Interpretation and limits follow before the final answers to the research questions.",whole_paragraph_or_caption_rewrite,,1 Introduction / roadmap,not_modified
NS0029,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P013,"Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",MR26,"CL01,CL02,CL03,CL04,CL05","Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",4.1,R05/MANUSCRIPT_REWRITE_CANDIDATES.md,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"Section 2 defines the records, reconstructed outcomes, source limitations and analysis populations. Section 3 sets out the models, reference quantities and paired date-group evaluation. Section 4 reports conditional shapes, information increments, named-window diagnostics and retrospective period comparisons. Interpretation and limits follow before the final answers to the research questions.",whole_paragraph_or_caption_rewrite,,1 Introduction / roadmap,not_modified
NS0030,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P013,"Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",MR26,"CL01,CL02,CL03,CL04,CL05","Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",4.2,R05/MANUSCRIPT_REWRITE_CANDIDATES.md,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"Section 2 defines the records, reconstructed outcomes, source limitations and analysis populations. Section 3 sets out the models, reference quantities and paired date-group evaluation. Section 4 reports conditional shapes, information increments, named-window diagnostics and retrospective period comparisons. Interpretation and limits follow before the final answers to the research questions.",whole_paragraph_or_caption_rewrite,,1 Introduction / roadmap,not_modified
NS0031,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P013,"Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",MR26,"CL01,CL02,CL03,CL04,CL05","Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",4.3,R05/MANUSCRIPT_REWRITE_CANDIDATES.md,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"Section 2 defines the records, reconstructed outcomes, source limitations and analysis populations. Section 3 sets out the models, reference quantities and paired date-group evaluation. Section 4 reports conditional shapes, information increments, named-window diagnostics and retrospective period comparisons. Interpretation and limits follow before the final answers to the research questions.",whole_paragraph_or_caption_rewrite,,1 Introduction / roadmap,not_modified
NS0032,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P013,"Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",MR26,"CL01,CL02,CL03,CL04,CL05","Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",4.4,R05/MANUSCRIPT_REWRITE_CANDIDATES.md,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"Section 2 defines the records, reconstructed outcomes, source limitations and analysis populations. Section 3 sets out the models, reference quantities and paired date-group evaluation. Section 4 reports conditional shapes, information increments, named-window diagnostics and retrospective period comparisons. Interpretation and limits follow before the final answers to the research questions.",whole_paragraph_or_caption_rewrite,,1 Introduction / roadmap,not_modified
NS0033,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P013,"Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",MR26,"CL01,CL02,CL03,CL04,CL05","Section 2 describes the data, incident-level outcome construction and sample. Section 3 presents the regression specifications, model-development history and evaluation procedures. Section 4.1 reports gust curvature and conditional fitted minima; Sections 4.2 and 4.3 examine predictive contributions and storm-period fitted performance; Section 4.4 reports retrospective temporal and clustering checks. Section 5 discusses interpretation, limitations and further work.",5,R05/MANUSCRIPT_REWRITE_CANDIDATES.md,whole declared source table,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,"Section 2 defines the records, reconstructed outcomes, source limitations and analysis populations. Section 3 sets out the models, reference quantities and paired date-group evaluation. Section 4 reports conditional shapes, information increments, named-window diagnostics and retrospective period comparisons. Interpretation and limits follow before the final answers to the research questions.",whole_paragraph_or_caption_rewrite,,1 Introduction / roadmap,not_modified
NS0034,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P014,2. Data and Study Setting,,,2. Data and Study Setting,2,,see source and disposition; not a new estimate,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,Retain the meaning of this formula/index/date/cross-reference; synchronize only numbering and linked caption at W. No new empirical value is asserted.,retain_definition_formula_or_reference,,retain current location pending author structure decision,not_modified
NS0035,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P015,2.1 Study setting and data sources,,,2.1 Study setting and data sources,2.1,,see source and disposition; not a new estimate,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,Retain the meaning of this formula/index/date/cross-reference; synchronize only numbering and linked caption at W. No new empirical value is asserted.,retain_definition_formula_or_reference,,retain current location pending author structure decision,not_modified
NS0036,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P016,"UKPN operates the electricity distribution network across London, the South East, and the East of England, and reports outage incidents to Ofgem, the energy regulator for Great Britain, under the regulatory reporting framework set out in the RIIO-ED1 and RIIO-ED2 Annex F guidance [11, 12]. RIIO-ED1 and RIIO-ED2 are successive multi-year price control periods during which Ofgem sets the revenue and performance requirements for UK electricity distribution network operators. This paper draws on UKPN’s outage incident records covering 1 April 2021 to 31 March 2024, a period of three complete regulatory years spanning both the RIIO-ED1 and RIIO-ED2 price control periods. Each record corresponds to a restoration stage rather than a complete outage incident. An incident that requires more than one restoration action, for example because power is restored to part of the affected area before the remainder, is represented by more than one stage-level record sharing a common incident reference. Section 2.2 describes how event-level outcome variables are constructed from these stage-level records.","MR02,MR03,MR27","CL01,CL04,CL05","UKPN operates the electricity distribution network across London, the South East, and the East of England, and reports outage incidents to Ofgem, the energy regulator for Great Britain, under the regulatory reporting framework set out in the RIIO-ED1 and RIIO-ED2 Annex F guidance [11, 12]. RIIO-ED1 and RIIO-ED2 are successive multi-year price control periods during which Ofgem sets the revenue and performance requirements for UK electricity distribution network operators. This paper draws on UKPN’s outage incident records covering 1 April 2021 to 31 March 2024, a period of three complete regulatory years spanning both the RIIO-ED1 and RIIO-ED2 price control periods. Each record corresponds to a restoration stage rather than a complete outage incident. An incident that requires more than one restoration action, for example because power is restored to part of the affected area before the remainder, is represented by more than one stage-level record sharing a common incident reference. Section 2.2 describes how event-level outcome variables are constructed from these stage-level records.",11,,see source and disposition; not a new estimate,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,Retain the meaning of this formula/index/date/cross-reference; synchronize only numbering and linked caption at W. No new empirical value is asserted.,retain_definition_formula_or_reference,,retain current location pending author structure decision,not_modified
NS0037,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P016,"UKPN operates the electricity distribution network across London, the South East, and the East of England, and reports outage incidents to Ofgem, the energy regulator for Great Britain, under the regulatory reporting framework set out in the RIIO-ED1 and RIIO-ED2 Annex F guidance [11, 12]. RIIO-ED1 and RIIO-ED2 are successive multi-year price control periods during which Ofgem sets the revenue and performance requirements for UK electricity distribution network operators. This paper draws on UKPN’s outage incident records covering 1 April 2021 to 31 March 2024, a period of three complete regulatory years spanning both the RIIO-ED1 and RIIO-ED2 price control periods. Each record corresponds to a restoration stage rather than a complete outage incident. An incident that requires more than one restoration action, for example because power is restored to part of the affected area before the remainder, is represented by more than one stage-level record sharing a common incident reference. Section 2.2 describes how event-level outcome variables are constructed from these stage-level records.","MR02,MR03,MR27","CL01,CL04,CL05","UKPN operates the electricity distribution network across London, the South East, and the East of England, and reports outage incidents to Ofgem, the energy regulator for Great Britain, under the regulatory reporting framework set out in the RIIO-ED1 and RIIO-ED2 Annex F guidance [11, 12]. RIIO-ED1 and RIIO-ED2 are successive multi-year price control periods during which Ofgem sets the revenue and performance requirements for UK electricity distribution network operators. This paper draws on UKPN’s outage incident records covering 1 April 2021 to 31 March 2024, a period of three complete regulatory years spanning both the RIIO-ED1 and RIIO-ED2 price control periods. Each record corresponds to a restoration stage rather than a complete outage incident. An incident that requires more than one restoration action, for example because power is restored to part of the affected area before the remainder, is represented by more than one stage-level record sharing a common incident reference. Section 2.2 describes how event-level outcome variables are constructed from these stage-level records.",12,,see source and disposition; not a new estimate,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,Retain the meaning of this formula/index/date/cross-reference; synchronize only numbering and linked caption at W. No new empirical value is asserted.,retain_definition_formula_or_reference,,retain current location pending author structure decision,not_modified
NS0038,196cef4abcdf4e6723b55035049c08de75613c3cc5a56314b264490f70e5926c,D-P016,"UKPN operates the electricity distribution network across London, the South East, and the East of England, and reports outage incidents to Ofgem, the energy regulator for Great Britain, under the regulatory reporting framework set out in the RIIO-ED1 and RIIO-ED2 Annex F guidance [11, 12]. RIIO-ED1 and RIIO-ED2 are successive multi-year price control periods during which Ofgem sets the revenue and performance requirements for UK electricity distribution network operators. This paper draws on UKPN’s outage incident records covering 1 April 2021 to 31 March 2024, a period of three complete regulatory years spanning both the RIIO-ED1 and RIIO-ED2 price control periods. Each record corresponds to a restoration stage rather than a complete outage incident. An incident that requires more than one restoration action, for example because power is restored to part of the affected area before the remainder, is represented by more than one stage-level record sharing a common incident reference. Section 2.2 describes how event-level outcome variables are constructed from these stage-level records.","MR02,MR03,MR27","CL01,CL04,CL05","UKPN operates the electricity distribution network across London, the South East, and the East of England, and reports outage incidents to Ofgem, the energy regulator for Great Britain, under the regulatory reporting framework set out in the RIIO-ED1 and RIIO-ED2 Annex F guidance [11, 12]. RIIO-ED1 and RIIO-ED2 are successive multi-year price control periods during which Ofgem sets the revenue and performance requirements for UK electricity distribution network operators. This paper draws on UKPN’s outage incident records covering 1 April 2021 to 31 March 2024, a period of three complete regulatory years spanning both the RIIO-ED1 and RIIO-ED2 price control periods. Each record corresponds to a restoration stage rather than a complete outage incident. An incident that requires more than one restoration action, for example because power is restored to part of the affected area before the remainder, is represented by more than one stage-level record sharing a common incident reference. Section 2.2 describes how event-level outcome variables are constructed from these stage-level records.",1,,see source and disposition; not a new estimate,,requires_semantic_interpretation,specified in candidate/evidence; not inferred from old n,Retain the meaning of this formula/index/date/cross-reference; synchronize only numbering and linked caption at W. No new empirical value is asserted.,retain_definition_formula_or_reference,,retain current location pending author structure decision,not_modified
