claim_id,body_location,claim_summary,needed_evidence,appendix_subsection,body_existing,supplement_required,requirement_id,status
CL_F02,§3.4 P040; P099,单向与双向SE敏感性,天气最终固定模型LAD-only与LAD/date双向协方差、完整SE及区间对照,F.2,,天气最终固定模型LAD-only与LAD/date双向协方差、完整SE及区间对照,F02,产物已补齐/研究负责人已关闭推断补全缺口
CL_F03,§4.3 P064; Table 6,变量块顺序加入的增量解释度,四组完整顺序增量结果,F.3,Table 6 / Figure 7；此表保留累计和样本信息,四组完整顺序增量结果,F03,已生成
CL_G01,§4.1 P055–056; P100,模型平均关系与单事件预测差距,已有各候选同规格样本内/OOF摘要,G.1–G.2,,已有各候选同规格样本内/OOF摘要,G01,已生成
CL_G02,§4.1 P052–056; §4.2 P062,当前最终模型预测表现,最终全体和天气样本RMSE/R²摘要,G.1–G.2,Figure 5已有最终预测图，不重复迁入,最终全体和天气样本RMSE/R²摘要,G02,已生成
CL_G03,§4.1 P046; §4.2 P062; P100,gust区间偏差与支持,最终模型固定分箱残差、n和校准绘图数据,G.3,,最终模型固定分箱残差、n和校准绘图数据,G03,产物已补齐/研究负责人已关闭第三包结果缺口
CL_H01,§3.1 P031; §4.4 P070; P101,替代分布和序数模型的条件对象不同,已保存NB和序数/逐阈logit结果,H.1–H.2,,已保存NB和序数/逐阈logit结果,H01,已生成
CL_H02,§4.4 P070; P101,事件已发生条件下的阈值超越概率,已保存事件条件lognormal参数与曲线,H.3,,已保存事件条件lognormal参数与曲线,H02,已生成
CL_H03,§3.1 P030; §4.4 P069; Appendix H title P100,替代Gamma/Tweedie与正文一致性,当前正式预测变量基上四项替代均值/分布设定的系数及两维聚类区间；既有事件条件证据整理,H.1,,当前正式预测变量基上四项替代均值/分布设定的系数及两维聚类区间；既有事件条件证据整理,H03,产物完成/待研究负责人反馈分析
CL_I01,§4.5 P077; P102,七场命名风暴窗口和事件覆盖,固定窗口内当前样本计数及客户总量,I.1,,固定窗口内当前样本计数及客户总量,I01,已生成
CL_I02,§4.5 P077; P102,命名风暴期间当前事件模型表现,当前最终规格风暴预测、误差与紧凑图,I.2–I.3,,当前最终规格风暴预测、误差与紧凑图,I02,产物已补齐/研究负责人已关闭第三包结果缺口
CL_J01,§3.5 P042–043; §4.4 P070–072,地区日分母、八标签和事后事件锚点proxy,构造定义与现有面板标签数量,J.1,,构造定义与现有面板标签数量,J01,已生成
CL_J02,v9 §3 J.2；§5.5 P089的已接受补充,独立网格天气与proxy定义不同,既有覆盖和天气数值比较,J.2,,既有覆盖和天气数值比较,J02,已生成
CL_J03,v9 §3 J.2；§4.3成果登记,独立天气替代的有效公平对照,已接受且两端优化有效的proxy/grid全八任务比较,J.2,,已接受且两端优化有效的proxy/grid全八任务比较,J03,产物已补齐/研究负责人已关闭匹配比较缺口
CL_J04,v9 §3 J.3 / §4.3成果登记,五种日度聚合在同一ERA5分支比较,八任务五候选完整指标与既有配对区间,J.3,,八任务五候选完整指标与既有配对区间,J04,已生成
CL_J05,v9 §3 J.4 / §4.3成果登记,持续性指标相对日最大值的增量,八任务三模型指标、阈值、既有配对区间,J.4,,八任务三模型指标、阈值、既有配对区间,J05,已生成
CL_J06,v9 §3 J.5；§4.5 已接受新增,正文proxy固定规格回顾性时间迁移,八任务开发/评估率、平均偏差、Brier/BSS与支持表,J.5,,八任务开发/评估率、平均偏差、Brier/BSS与支持表,J06,已生成
CL_J07,v9 §5 图形呈现,重点任务风险校准和月度表现并不完全一致,全体>100与天气>100校准/月度四面板及八任务既定箱数据,J.5,,全体>100与天气>100校准/月度四面板及八任务既定箱数据,J07,已生成
CL_J08,v9 §3 J.6；§5.5 P089,已完成探索与剩余限制,方法/用途/不可支持解释的简明登记,J.6,,方法/用途/不可支持解释的简明登记,J08,已生成
CL_J09,研究负责人关闭决定；v9 §1；P074/P089仅作关闭定位,正文proxy历史全样本/LAD折内数值专项审计,关闭事项登记,J.6,,关闭事项登记,J09,用户已关闭
CL_J10,研究负责人关闭决定；v9 §1；P074/P089仅作关闭定位,旧proxy支持上限、尾部样本与g50历史核查,关闭事项登记,J.6,,关闭事项登记,J10,用户已关闭
CL_J11,研究负责人关闭决定；v9 §1；P074/P089仅作关闭定位,incident平台结点与district-day概率位置联系,关闭事项登记,J.6,,关闭事项登记,J11,用户已关闭
CL_J12,研究负责人关闭决定；v9 §1；P074/P089仅作关闭定位,锚点覆盖及自身锚点剔除诊断,关闭事项登记,J.6,,关闭事项登记,J12,用户已关闭
