requirement_id,claim_id,appendix,subsection,question,unit,sample,model,metrics,validation,duplicate_body,scope_note,expected_outputs
E01,CL_E01,E,E.1–E.3,两期设计及已保存关键系数完整列出,incident,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,系数、两维SE、p、n,只读已有结果；本轮不拟合,True,两个时期分别拟合，规格沿用全期选择；不是开发期冻结预测。时期此前已用于探索。没有保存完整分期系数，不补训。,E/tables/E_PERIOD_COEFFICIENTS.csv;E/tables/E_PERIOD_COEFFICIENTS.md;E/tables/E_TEMPORAL_DESIGN.csv;E/tables/E_TEMPORAL_DESIGN.md
F01,CL_F01,F,F.1–F.2,四组完整双向聚类系数和全体LAD-only对照,incident,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,coef、SE、normal p及t(G-1) p（按源字段）,只读已有结果；本轮不拟合,False,G为LAD数；最终公式为对数结果OLS；参考水平和标准化见A02。,F/tables/F_FULL_COEFFICIENTS.csv;F/tables/F_FULL_COEFFICIENTS.md
F02,CL_F02,F,F.2,天气最终固定模型LAD-only与LAD/date双向协方差、完整SE及区间对照,incident,E0 weather9857；R0c weather9254，正式正客户恢复样本,fixed final E0 platform11/24; R0c single knot11; both temperature squared; original full controls,"same-coefficient SE ratio, t(G_LAD-1) 95% CI and p; full covariance components","same X/residuals/keys; compare saved final coef, se, se_lad and p_t_G1; no CV",False,更新台账(2)第10节已由负责人关闭F02；原表已有se_lad，矩阵/区间和推断规则已补齐；本轮不改写F。,F/tables/F02_COEFFICIENT_COMPARISON.csv;F/tables/F02_COEFFICIENT_COMPARISON.md;F/data/F02_SPECIFICATIONS.csv;F/data/F02_SOURCE_COMPARISON.csv;F/data/F02_MODEL_STATUS.csv;F/logs/F02_PROTOCOL.json;F/logs/F02_TECHNICAL_CHECKS.json;F/logs/F02_EXECUTION_REPORT.md
F03,CL_F03,F,F.3,四组完整顺序增量结果,incident,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,OOF R²及增量（比例，非百分数）,固定LAD-CV顺序分解,True,Regional + calendar是联合块，不能写成calendar单独贡献；顺序分解不是唯一因果分解。,F/tables/F03_R2_DECOMPOSITION.csv;F/tables/F03_R2_DECOMPOSITION.md
G01,CL_G01,G,G.1–G.2,已有各候选同规格样本内/OOF摘要,incident,E0=60437; 此梯级R0c=59834包含零客户,见需求说明；不合并不同规格排名,log尺度RMSE、R²、相关、校准斜率,只读已有结果；本轮不拟合,False,属于较早候选诊断，不把不同清理版本差别归因于函数改进；最终汇总另见G02。,G/tables/G01_PREDICTED_VS_OBSERVED_SUMMARY.csv;G/tables/G01_PREDICTED_VS_OBSERVED_SUMMARY.md
G02,CL_G02,G,G.1–G.2,最终全体和天气样本RMSE/R²摘要,incident,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,见来源字段，原单位,只读已有结果；本轮不拟合,True,全体final_summary保存RMSE，不保存完整最终OOF逐行值；天气pvo包含3候选均如实保留。,G/tables/G_FINAL_METRICS.csv;G/tables/G_FINAL_METRICS.md
G03,CL_G03,G,G.3,最终模型固定分箱残差、n和校准绘图数据,incident,accepted E0 all60437/weather9857; positive R0c all51173/weather9254; I all only,fixed final / exactly identified legacy controls; no model search,pooled log-scale RMSE/MAE/bias; actual fixed gust bins and predicted quantiles; I seven windows and unique union,original fixed five LAD folds where row outputs absent; in-sample and OOF explicitly separate,False,更新台账(3)第12节已确认关闭第三包结果缺口；GI-W01至W09图文待改保留，不重跑或改写G/I。,G/tables/GI_PREDICTION_METRICS.csv;G/tables/GI_PREDICTION_METRICS.md;G/tables/GI_FINAL_GUST_RESIDUALS.csv;G/tables/GI_FINAL_GUST_RESIDUALS.md;G/figures/GI_PREDICTION_CALIBRATION.png;G/figures/GI_PREDICTION_CALIBRATION.pdf;G/figures/GI_GUST_RESIDUALS.png;G/figures/GI_GUST_RESIDUALS.pdf;G/figures/GI_RESPONSE_COMPONENTS.png;G/figures/GI_RESPONSE_COMPONENTS.pdf;G/logs/GI_PROTOCOL.json;G/logs/GI_TECHNICAL_CHECKS.json;G/logs/GI_EXECUTION_REPORT.md
H01,CL_H01,H,H.1–H.2,已保存NB和序数/逐阈logit结果,incident,E0=60437；R0c=59834（含零客户）；既有探索规格,E0自由结点14/26，R0c单结点17；不是最终E0平台14/25或正客户恢复,见来源字段，原单位,只读已有结果；本轮不拟合,False,可用于事件条件方法说明；不是当前最终规格分布稳健性证明。McFadden字段null保留缺失。,H/tables/H_ORDINAL_SUMMARY.csv;H/tables/H_ORDINAL_SUMMARY.md;H/tables/H_CONDITIONAL_COEFFICIENTS.csv;H/tables/H_CONDITIONAL_COEFFICIENTS.md
H02,CL_H02,H,H.3,已保存事件条件lognormal参数与曲线,incident,源JSON E0全体60437/天气9857，恢复59834/天气9806，含零客户,事件条件lognormal；并非district-day背景率模型,见来源字段，原单位,只读已有结果；本轮不拟合,False,参数仅按既有记录导出，边界/优化诊断保留；极端theta不能当作有效物理阈值。不导出新增降水交互曲面。,H/tables/H_CONDITIONAL_LOGNORMAL.csv;H/tables/H_CONDITIONAL_LOGNORMAL.md;H/data/H_OPTIMIZER_DIAGNOSTICS.json
H03,CL_H03,H,H.1,当前正式预测变量基上四项替代均值/分布设定的系数及两维聚类区间；既有事件条件证据整理,incident,"E0_all60437 includes8979 zeros; R0c_all51173 positive customers, accepted cleaning",fixed final E14/25 plateau and R quadratic: E NB2/Tweedie; R Gamma/Tweedie; explicit Log; Tweedie power1.5 EQL,"full coefficients, LAD/date score-Hessian covariance and t(G_LAD-1) intervals; no cross-scale ranking","same design/IDs, lawful raw response, solver/score/Hessian diagnostics, saved means and covariance components; no CV",False,第四包四个既定全样本拟合；OLS参考及H2/H3只复用/派生。产物完成待负责人反馈，不自动关闭或成文。,H/tables/H03_MODEL_DEFINITIONS.csv;H/tables/H03_MODEL_DEFINITIONS.md;H/tables/H03_FULL_COEFFICIENTS.csv;H/tables/H03_FULL_COEFFICIENTS.md;H/tables/H03_GUST_COMPARISON.csv;H/tables/H03_GUST_COMPARISON.md;H/tables/H03_EVENT_CONDITIONAL_FREQUENCIES.csv;H/tables/H03_EVENT_CONDITIONAL_FREQUENCIES.md;H/logs/H03_PROTOCOL.json;H/logs/H03_TECHNICAL_CHECKS.json;H/logs/H03_EXECUTION_REPORT.md
I01,CL_I01,I,I.1,固定窗口内当前样本计数及客户总量,incident,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,各窗口事件数、客户总量；重叠窗口另提供去重并集,只读已有结果；本轮不拟合,False,只汇总已有窗口；不把窗口描述当作预测验证。,I/tables/I_STORM_COUNTS.csv;I/tables/I_STORM_COUNTS.md
I02,CL_I02,I,I.2–I.3,当前最终规格风暴预测、误差与紧凑图,incident,accepted E0 all60437/weather9857; positive R0c all51173/weather9254; I all only,fixed final / exactly identified legacy controls; no model search,pooled log-scale RMSE/MAE/bias; actual fixed gust bins and predicted quantiles; I seven windows and unique union,original fixed five LAD folds where row outputs absent; in-sample and OOF explicitly separate,False,更新台账(3)第12节已确认关闭第三包结果缺口；GI-W01至W09图文待改保留，不重跑或改写G/I。,I/tables/GI_STORM_METRICS.csv;I/tables/GI_STORM_METRICS.md;I/tables/GI_STORM_SAMPLES.csv;I/tables/GI_STORM_SAMPLES.md;I/figures/GI_STORM_FINAL_SCATTER.png;I/figures/GI_STORM_FINAL_SCATTER.pdf;I/logs/GI_PROTOCOL.json;I/logs/GI_TECHNICAL_CHECKS.json;I/logs/GI_EXECUTION_REPORT.md
J01,CL_J01,J,J.1,构造定义与现有面板标签数量,LAD-day,111 LAD × 1096日期,p0+(1-p0)Phi((ln g-ln theta)/beta),八标签阳性数、比例,只读已有结果；本轮不拟合,False,当天事件坐标均值中心、40km Gaussian/distance插值，非ERA5日最大；任意事件包含零客户，其他阈值严格>且为至少一个事件。只读定义和标签，不审计历史拟合。,J/tables/J_PROXY_DEFINITIONS.csv;J/tables/J_PROXY_DEFINITIONS.md;J/tables/J_PROXY_LABELS.csv;J/tables/J_PROXY_LABELS.md
J02,CL_J02,J,J.2,既有覆盖和天气数值比较,LAD-day / LAD centroid,111 LAD，2021-04-01至2024-03-31,见需求说明；不合并不同规格排名,天气差值m/s、RMSE m/s、相关（不是概率评分）,只读已有结果；本轮不拟合,False,覆盖/天气数据可复用；不导入P03历史模型排名或旧置信区间。再分析值不是气象站真值，也非LAD全域最大。,J/tables/J02_GUST_COMPARISON.csv;J/tables/J02_GUST_COMPARISON.md;J/tables/J02_GRID_CELLS.csv;J/tables/J02_GRID_CELLS.md;J/tables/J02_CENTROIDS.csv;J/tables/J02_CENTROIDS.md;J/tables/J_INDEPENDENT_WEATHER_DEFINITIONS.csv;J/tables/J_INDEPENDENT_WEATHER_DEFINITIONS.md
J03,CL_J03,J,J.2,已接受且两端优化有效的proxy/grid全八任务比较,LAD-day,111 LAD × 1096 UTC days = 121656 rows; identical eight labels and saved five LAD folds,shared ddagg01-stable-v1 background-rate lognormal; PROXY versus GRID_MAX,pooled OOF Brier/BSS; delta=PROXY-GRID_MAX; paired conditional 95% interval,48 components per source; training-only fits; fixed OOF paired LAD bootstrap B=1000 seed=20260909,False,研究负责人在F02启动时明确确认J03匹配比较缺口关闭，保留正文PROXY；F02本轮不重跑或改写J。,J/tables/J03_FULL_PARAMETERS.csv;J/tables/J03_FULL_PARAMETERS.md;J/tables/J03_FOLD_FITS.csv;J/tables/J03_FOLD_FITS.md;J/tables/J03_COMPONENT_PLAN.csv;J/tables/J03_COMPONENT_PLAN.md;J/tables/J03_COMPONENT_MANIFEST.csv;J/tables/J03_COMPONENT_MANIFEST.md;J/tables/J03_MATCHED_SAMPLE.csv;J/tables/J03_MATCHED_SAMPLE.md;J/tables/J03_PAIRED_METRICS.csv;J/tables/J03_PAIRED_METRICS.md;J/tables/J03_FOLD_METRICS.csv;J/tables/J03_FOLD_METRICS.md;J/tables/J03_CALIBRATION.csv;J/tables/J03_CALIBRATION.md;J/tables/J03_PAIRED_INTERVALS.csv;J/tables/J03_PAIRED_INTERVALS.md;J/tables/J03_PROXY_HISTORY_COMPARISON.csv;J/tables/J03_PROXY_HISTORY_COMPARISON.md;J/figures/J03_PRIMARY_CALIBRATION.png;J/figures/J03_BRIER_COMPARISON.png
J04,CL_J04,J,J.3,八任务五候选完整指标与既有配对区间,LAD-day,111×1096；固定LAD折,A01最大/A02均值/A03Q90/A04top3/A05rolling3,Brier、相对A01增益、BSS、已有校准RMSE和已有配对区间,来源固定LAD-CV，来源已有区间；本轮不重采样,False,仅在本实验同任务候选内比较；不把不同评估集Brier或不同分箱校准RMSE跨实验排名。,J/tables/J04_METRICS.csv;J/tables/J04_METRICS.md;J/tables/J04_PAIRED_UNCERTAINTY.csv;J/tables/J04_PAIRED_UNCERTAINTY.md;J/tables/J04_AGGREGATION_SUMMARY.csv;J/tables/J04_AGGREGATION_SUMMARY.md
J05,CL_J05,J,J.4,八任务三模型指标、阈值、既有配对区间,LAD-day,与DD-AGG01一致ERA5及固定LAD折,"M0日最大；M1增加h=H/24；M2增加x=log1p(sum(max(g_h²-tau²,0))/(24tau²)))",Brier/增益/BSS；tau(m/s)；既有区间,tau仅训练小时Q90；冻结折号；无本轮拟合,False,H为超阈小时计数，不是最长连续时长；平方累计非结构损伤测量。保留稀有任务微小正向结果。,J/tables/J05_METRICS.csv;J/tables/J05_METRICS.md;J/tables/J05_PAIRED_UNCERTAINTY.csv;J/tables/J05_PAIRED_UNCERTAINTY.md;J/tables/J05_THRESHOLDS.csv;J/tables/J05_THRESHOLDS.md
J06,CL_J06,J,J.5,八任务开发/评估率、平均偏差、Brier/BSS与支持表,LAD-day,开发2021-04-01–2023-09-29；评估2023-09-30–2024-03-31；同111LAD,开发期背景率lognormal冻结；开发阳性率常数基准,Brier/BSS为比例；平均偏差另列概率百分点,只读已有结果；本轮不拟合,False,回顾性，评估期此前参与探索；事后proxy构造下跨期迁移，不是提前预警。开发期参数不可替换正文全期参数。,J/tables/J_TIME_METRICS.csv;J/tables/J_TIME_METRICS.md;J/tables/J_TIME_MONTHLY.csv;J/tables/J_TIME_MONTHLY.md;J/tables/J_TIME_SUPPORT.csv;J/tables/J_TIME_SUPPORT.md;J/tables/J_TIME_DEVELOPMENT_FIT.csv;J/tables/J_TIME_DEVELOPMENT_FIT.md
J07,CL_J07,J,J.5,全体>100与天气>100校准/月度四面板及八任务既定箱数据,LAD-day,后续评估期；两个重点任务，其他六项全指标见J06,见需求说明；不合并不同规格排名,预测概率/实际发生率；每箱n、阳性数,沿用开发十分位分箱，空箱留缺失；不移动箱边界,False,2023-09只有9月30日一天，不与完整月份等量解释；稀疏箱不连成尾部趋势。显示轴覆盖全部非空箱均值，1.15倍最大值向上取0.05整倍数；仅排版，不重分箱。,J/tables/J_TIME_CALIBRATION_BINS.csv;J/tables/J_TIME_CALIBRATION_BINS.md;J/figures/J_TIME_CALIBRATION_MONTHLY.png;J/data/J_TIME_MONTHLY.csv
J08,CL_J08,J,J.6,方法/用途/不可支持解释的简明登记,LAD-day,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,见来源字段，原单位,只读已有结果；本轮不拟合,False,不声称等效、统计显著或完全校准；不自动提出模型替换。,J/tables/J_INTERPRETATION_BOUNDARIES.csv;J/tables/J_INTERPRETATION_BOUNDARIES.md;J/tables/J_FROZEN_EXPERIMENT_DEFINITIONS.csv;J/tables/J_FROZEN_EXPERIMENT_DEFINITIONS.md
J09,CL_J09,J,J.6,关闭事项登记,不执行,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,见来源字段，原单位,只读已有结果；本轮不拟合,False,,
J10,CL_J10,J,J.6,关闭事项登记,不执行,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,见来源字段，原单位,只读已有结果；本轮不拟合,False,,
J11,CL_J11,J,J.6,关闭事项登记,不执行,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,见来源字段，原单位,只读已有结果；本轮不拟合,False,,
J12,CL_J12,J,J.6,关闭事项登记,不执行,E0=60437; R0c建模前=59834，当前正客户恢复=51173；以各表明确口径为准,见需求说明；不合并不同规格排名,见来源字段，原单位,只读已有结果；本轮不拟合,False,,
